"","order","participant","group","age","gender","condition","version","demoOrder","firstSet","test","firstPicture","answer","choice","p1","p2","p3","p4","p5","p6","acc_p1","acc_p2","acc_p3","acc_p4","acc_p5","acc_p6","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","ave_acc","ave_PTS","ave_IG"
"11",11,"EI_RPP_54AO","adults",19,"F","baseline","new","['Y', 'G', 'R']","B","(4, 2, 6, 3, 1, 5)","[2, 2, 1, 1, 1, 1]","('Y', 'R', 'R', 'Y', 'G', 'G')","('Y', 'Y', 'R', 'Y', 'G', 'G')",2,1,1,1,2,3,1,0,1,1,1,1,1,0,1,1,1,1,0.833333333,0.75,0.833333333333333
"12",12,"EI_RPP_55MG","adults",22,"F","baseline","new","['G', 'R', 'Y']","A","(1, 5, 3, 6, 2, 4)","[2, 1, 1, 1, 2, 2]","('G', 'G', 'Y', 'R', 'R', 'Y')","('G', 'G', 'Y', 'R', 'Y', 'Y')",2,1,1,1,2,3,1,0,1,1,1,1,1,1,1,1,0,1,0.833333333,0.75,0.833333333333333
"13",13,"EI_RPP_56KR","adults",32,"M","baseline","new","['R', 'Y', 'G']","B","(6, 2, 4, 1, 3, 5)","[2, 2, 2, 2, 1, 2]","('R', 'R', 'Y', 'G', 'Y', 'G')","('R', 'Y', 'Y', 'G', 'G', 'R')",2,1,2,1,3,3,0,0,1,1,0,0,0,0,1,0,1,0,0.333333333,0.833333333333333,0.5
"14",14,"EI_RPP_57RM","adults",33,"M","baseline","new","['G', 'R', 'Y']","A","(1, 3, 5, 4, 6, 2)","[1, 2, 1, 2, 1, 2]","('G', 'Y', 'G', 'Y', 'R', 'R')","('G', 'Y', 'G', 'Y', 'R', 'R')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"15",15,"EI_RPP_58KT","adults",21,"F","baseline","new","['Y', 'R', 'G']","B","(2, 6, 4, 3, 5, 1)","[1, 1, 1, 1, 2, 1]","('R', 'R', 'Y', 'Y', 'G', 'G')","('R', 'R', 'Y', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"16",16,"EI_RPP_59MH","adults",19,"M","baseline","new","['R', 'G', 'Y']","B","(2, 6, 4, 5, 1, 3)","[1, 2, 1, 2, 1, 1]","('R', 'R', 'Y', 'G', 'G', 'Y')","('Y', 'R', 'Y', 'G', 'G', 'Y')",2,1,1,1,2,3,1,0,1,1,1,1,0,1,1,1,1,1,0.833333333,0.75,0.833333333333333
"17",17,"EI_RPP_60JR","adults",20,"F","baseline","new","['Y', 'R', 'G']","A","(1, 5, 3, 2, 6, 4)","[2, 1, 1, 2, 1, 2]","('G', 'G', 'Y', 'R', 'R', 'Y')","('G', 'G', 'Y', 'R', 'R', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"18",18,"EI_RPP_61AD","adults",20,"M","baseline","new","['G', 'Y', 'R']","B","(2, 6, 4, 5, 3, 1)","[1, 1, 1, 1, 2, 1]","('R', 'R', 'Y', 'G', 'Y', 'G')","('R', 'R', 'Y', 'G', 'Y', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"19",19,"EI_RPP_62AH","adults",21,"F","baseline","new","['G', 'R', 'Y']","B","(6, 4, 2, 3, 1, 5)","[1, 1, 1, 1, 2, 2]","('R', 'Y', 'R', 'Y', 'G', 'G')","('R', 'Y', 'R', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"20",20,"EI_RPP_63AJ","adults",20,"F","baseline","new","['G', 'Y', 'R']","B","(2, 4, 6, 3, 5, 1)","[1, 2, 1, 1, 2, 1]","('R', 'Y', 'R', 'Y', 'G', 'G')","('R', 'Y', 'R', 'Y', 'G', 'G')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
